,year,water,disaster,province,amphur,tambon,maintenance,price,breed,produce
119,2561,179,9,25.0,2.0,12.0,2000.0,11.0,101.0,400.0
120,2561,78,0,40.0,4.0,6.0,1150.0,15.0,101.0,460.0
121,2561,2,0,15.0,2.0,4.0,500.0,9.0,101.0,900.0
122,2561,24,0,15.0,1.0,3.0,600.0,8.5,101.0,850.0
123,2561,50,0,72.0,10.0,3.0,660.0,8.5,101.0,950.0
124,2561,54,9,39.0,1.0,4.0,625.0,12.0,101.0,400.0
125,2561,77,0,39.0,2.0,6.0,625.0,12.0,101.0,420.0
126,2561,48,0,72.0,2.0,2.0,420.0,8.0,101.0,900.0
127,2561,139,0,40.0,18.0,7.0,50.0,70.0,101.0,500.0
128,2561,0,0,54.0,4.0,9.0,470.0,17.0,101.0,750.0
129,2561,31,0,39.0,2.0,7.0,620.0,13.0,101.0,420.0
130,2561,2,0,14.0,15.0,5.0,575.0,7.5,101.0,891.0
131,2561,259,0,45.0,1.0,25.0,2350.0,12.0,101.0,450.0
132,2561,33,8,64.0,1.0,10.0,200.0,6.5,101.0,700.0
133,2561,197,0,45.0,1.0,17.0,2300.0,12.0,101.0,420.0
134,2561,71,36,93.0,5.0,8.0,950.0,15.0,101.0,340.0
135,2561,12,0,51.0,7.0,1.0,700.0,11.0,101.0,750.0
136,2561,67,0,46.0,6.0,3.0,400.0,14.0,101.0,450.0
137,2561,73,0,34.0,1.0,5.0,393.46,14.25,101.0,360.0
138,2561,28,0,51.0,6.0,2.0,650.0,11.0,101.0,740.0
139,2561,29,0,46.0,13.0,4.0,700.0,14.0,101.0,400.0
140,2561,71,0,38.0,7.0,5.0,850.0,9.0,101.0,315.0
141,2561,67,70,76.0,6.0,6.0,1000.0,10.08,101.0,800.0
142,2561,35,0,36.0,12.0,3.0,650.0,13.0,101.0,515.0
143,2561,136,42,90.0,2.0,8.0,271.0,7.7,101.0,528.0
144,2561,155,0,41.0,24.0,3.0,460.0,12.0,101.0,480.0
145,2561,67,0,33.0,10.0,25.0,1150.0,13.0,101.0,550.0
146,2561,38,0,30.0,7.0,7.0,600.0,14.0,101.0,450.0
147,2561,29,0,34.0,14.0,7.0,705.0,18.0,101.0,412.0
148,2561,25,158,38.0,1.0,4.0,4500.0,8.0,101.0,370.0
149,2561,4,0,30.0,15.0,10.0,600.0,14.0,101.0,450.0
150,2561,19,0,34.0,7.0,15.0,600.0,15.5,101.0,400.0
151,2561,26,0,34.0,4.0,2.0,1100.0,18.0,101.0,600.0
152,2561,50,0,46.0,16.0,4.0,1750.0,16.0,101.0,450.0
153,2561,10,0,56.0,7.0,4.0,3000.0,25.0,101.0,700.0
154,2561,68,7,30.0,18.0,8.0,650.0,14.0,101.0,450.0
155,2561,100,2,92.0,8.0,6.0,300.0,30.0,101.0,430.0
156,2561,181,0,25.0,2.0,9.0,360.0,15.0,101.0,440.0
157,2561,33,0,42.0,1.0,10.0,1100.0,15.0,101.0,430.0
158,2561,73,0,37.0,3.0,5.0,1400.0,18.0,101.0,420.0
159,2561,36,0,30.0,10.0,6.0,750.0,14.0,101.0,450.0
160,2561,56,2,46.0,4.0,1.0,250.0,10.0,101.0,450.0
161,2561,14,0,53.0,7.0,5.0,568.0,8.0,101.0,820.0
162,2561,68,22,30.0,29.0,1.0,650.0,14.0,101.0,450.0
163,2561,320,3,30.0,17.0,2.0,700.0,14.0,101.0,450.0
164,2561,136,0,32.0,4.0,5.0,440.0,18.0,101.0,400.0
165,2561,21,0,32.0,15.0,2.0,500.0,23.0,101.0,650.0
166,2561,125,0,32.0,15.0,3.0,450.0,20.0,101.0,400.0
167,2561,147,0,30.0,6.0,3.0,580.0,14.0,101.0,450.0
168,2561,48,0,30.0,32.0,1.0,650.0,14.0,101.0,450.0
169,2561,9,5,46.0,3.0,1.0,1100.0,14.0,101.0,620.0
170,2561,149,9,49.0,2.0,4.0,775.0,15.0,101.0,400.0
171,2561,113,0,41.0,4.0,9.0,372.0,11.0,101.0,410.0
172,2561,68,0,46.0,7.0,14.0,550.0,8.0,101.0,520.0
173,2561,2,5,46.0,7.0,10.0,1100.0,8.0,101.0,570.0
174,2561,97,136,30.0,30.0,3.0,700.0,14.0,101.0,450.0
